rapidoid,https://github.com/rapidoid/rapidoid.git,1401,4069
byte-buddy,https://github.com/raphw/byte-buddy.git,2723,4117
CoreNLP,https://github.com/stanfordnlp/CoreNLP.git,6150,4305
redisson,https://github.com/redisson/redisson.git,8867,4543
pinpoint,https://github.com/naver/pinpoint.git,8537,5276
checkstyle,https://github.com/checkstyle/checkstyle.git,4485,5351
uaa,https://github.com/cloudfoundry/uaa.git,956,5597
javaparser,https://github.com/javaparser/javaparser.git,2415,5626
junit5,https://github.com/junit-team/junit5.git,3061,5729
geoserver,https://github.com/geoserver/geoserver.git,1476,6047
kaa,https://github.com/kaaproject/kaa.git,1087,6182
pentaho-kettle,https://github.com/pentaho/pentaho-kettle.git,2606,6680
hbase,https://github.com/apache/hbase.git,2741,6683
nd4j,https://github.com/deeplearning4j/nd4j.git,1580,6711
jetty.project,https://github.com/eclipse/jetty.project.git,2444,6745
tomcat,https://github.com/apache/tomcat.git,3152,7053
che,https://github.com/eclipse/che.git,5490,7960
graylog2-server,https://github.com/Graylog2/graylog2-server.git,4802,8764
keycloak,https://github.com/keycloak/keycloak.git,3715,8922
wildfly,https://github.com/wildfly/wildfly.git,2255,11187
flink,https://github.com/apache/flink.git,8438,11288
presto,https://github.com/prestodb/presto.git,8966,11488
hadoop,https://github.com/apache/hadoop.git,8888,12546
sonarqube,https://github.com/SonarSource/sonarqube.git,3557,14869
bigbluebutton,https://github.com/bigbluebutton/bigbluebutton.git,2386,15414
languagetool,https://github.com/languagetool-org/languagetool.git,2707,17301
ignite,https://github.com/apache/ignite.git,2459,18673
camel,https://github.com/apache/camel.git,2572,19536
neo4j,https://github.com/neo4j/neo4j.git,6354,30424
giraph,https://github.com/apache/giraph.git
gson,https://github.com/google/gson.git
drill,https://github.com/apache/drill.git
truth,https://github.com/google/truth.git
